match_no,date,venue,team1,team2,stage,toss_winner,toss_decision,first_innings_score,first_innings_wickets,second_innings_score,second_innings_wickets,team_won,won_by,margin,player_of_the_match,top_scorer,highest_score,best_bowler,best_bowling_figures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,23-04-2023,Bangalore,Bangalore,Rajasthan,Group,Rajasthan,Fielding,189,9,182,6,Bangalore,Runs,7,Glenn Maxwell,Glenn Maxwell,77,Harshal Patel,3-32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,23-04-2023,Kolkata,Kolkata,Chennai,Group,Kolkata,Fielding,235,7,186,8,Chennai,Runs,49,Ajinkya Rahane,Ajinkya Rahane,71,Maheesh Theekshana,2-32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,24-04-2023,Hyderabad,Hyderabad,Delhi,Group,Delhi,Batting,144,9,137,6,Delhi,Runs,7,Axar Patel,Mayank Agarwal,49,Washington Sundar,3-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,25-04-2023,Ahmedabad,Gujrat,Mumbai,Group,Mumbai,Fielding,207,6,152,9,Gujrat,Runs,55,Abhinav Manohar,Shubman Gill,56,Noor Ahmad,3-37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,26-04-2023,Bangalore,Bangalore,Kolkata,Group,Bangalore,Fielding,200,5,179,8,Kolkata,Runs,21,Varun Chakaravarthy,Jason Roy,56,Varun Chakaravarthy,3-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,27-04-2023,Jaipur,Rajasthan,Chennai,Group,Rajasthan,Batting,202,5,170,6,Rajasthan,Runs,32,Yashasvi Jaiswal,Yashasvi Jaiswal,77,Adam Zampa,3-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,28-04-2023,Mohali,Punjab,Lucknow,Group,Punjab,Fielding,257,5,201,10,Lucknow,Runs,56,Marcus Stoinis,Marcus Stoinis,72,Yash Thakur,4-37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,29-04-2023,Kolkata,Kolkata,Gujrat,Group,Gujrat,Fielding,179,7,180,3,Gujrat,Wickets,7,Joshua Little,Rahmanullah Gurbaz,81,Mohammed Shami,3-33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,29-04-2023,Delhi,Delhi,Hyderabad,Group,Hyderabad,Batting,197,6,188,6,Hyderabad,Runs,9,Mitchell Marsh,Abhishek Sharma,67,Mitchell Marsh,4-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,30-04-2023,Chennai,Chennai,Punjab,Group,Chennai,Batting,200,4,201,6,Punjab,Wickets,4,Devon Conway,Devon Conway,92,Tushar Deshpande,3-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,30-04-2023,Mumbai,Mumbai,Rajasthan,Group,Rajasthan,Batting,212,7,214,4,Mumbai,Wickets,6,Yashasvi Jaiswal,Yashasvi Jaiswal,124,Arshad Khan,3-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,01-05-2023,Lucknow,Lucknow,Bangalore,Group,Bangalore,Batting,126,9,108,10,Bangalore,Runs,18,Faf du Plessis,Faf du Plessis,44,Naveen-ul-Haq,3-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,02-05-2023,Ahmedabad,Gujrat,Delhi,Group,Delhi,Batting,130,8,125,6,Delhi,Runs,5,Mohammed Shami,Hardik Pandya,59,Mohammed Shami,4-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,03-05-2023,Lucknow,Lucknow,Chennai,Group,Chennai,Fielding,125,7,130,4,Chennai,Wickets,6,Ruturaj Gaikwad,Ayush Badoni,59,Moeen Ali,2-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,03-05-2023,Mohali,Punjab,Mumbai,Group,Mumbai,Fielding,214,3,216,4,Mumbai,Wickets,6,Ishan Kishan,Liam Livingstone,82,Piyush Chawla,2-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,04-05-2023,Hyderabad,Hyderabad,Kolkata,Group,Kolkata,Batting,171,9,166,8,Kolkata,Runs,5,Varun Chakaravarthy,Rinku Singh,46,T. Natarajan,2-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,05-05-2023,Jaipur,Rajasthan,Gujrat,Group,Rajasthan,Batting,118,10,119,1,Gujrat,Wickets,9,Rashid Khan,Wriddhiman Saha,41,Rashid Khan,3-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,06-05-2023,Chennai,Chennai,Mumbai,Group,Chennai,Fielding,139,8,140,4,Chennai,Wickets,6,Matheesha Pathirana,Nehal Wadhera,64,Matheesha Pathirana,3-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,06-05-2023,Delhi,Delhi,Bangalore,Group,Bangalore,Batting,181,4,187,3,Delhi,Wickets,7,Phil Salt,Phil Salt,87,Mitchell Marsh,2-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,07-05-2023,Ahmedabad,Gujrat,Lucknow,Group,Lucknow,Fielding,227,2,171,7,Gujrat,Runs,56,Shubman Gill,Shubman Gill,94,Mohit Sharma,4-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,07-05-2023,Jaipur,Rajasthan,Hyderabad,Group,Rajasthan,Batting,214,2,217,6,Hyderabad,Wickets,4,Glenn Phillips,Jos Buttler,95,Yuzvendra Chahal,4-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,08-05-2023,Kolkata,Kolkata,Punjab,Group,Punjab,Batting,179,7,182,5,Kolkata,Wickets,5,Andre Russell,Shikhar Dhawan,57,Varun Chakaravarthy,3-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,09-05-2023,Mumbai,Mumbai,Bangalore,Group,Mumbai,Fielding,199,6,200,4,Mumbai,Wickets,6,Suryakumar Yadav,Suryakumar Yadav,83,Jason Behrendorff,3-36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,10-05-2023,Chennai,Chennai,Delhi,Group,Chennai,Batting,167,8,140,8,Chennai,Runs,27,Ravindra Jadeja,Rilee Rossouw,35,Mitchell Marsh,3-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,11-05-2023,Kolkata,Kolkata,Rajasthan,Group,Rajasthan,Fielding,149,8,151,1,Rajasthan,Wickets,9,Yashasvi Jaiswal,Yashasvi Jaiswal,98,Yuzvendra Chahal,4-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,12-05-2023,Mumbai,Mumbai,Gujrat,Group,Gujrat,Fielding,218,5,191,8,Mumbai,Runs,27,Suryakumar Yadav,Suryakumar Yadav,103,Rashid Khan,4-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,13-05-2023,Hyderabad,Hyderabad,Lucknow,Group,Hyderabad,Batting,182,6,185,3,Lucknow,Wickets,7,Prerak Mankad,Prerak Mankad,64,Krunal Pandya,2-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,13-05-2023,Delhi,Delhi,Punjab,Group,Delhi,Fielding,167,7,136,8,Punjab,Runs,31,Prabhsimran Singh,Prabhsimran Singh,103,Harpreet Brar,4-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,14-05-2023,Jaipur,Rajasthan,Bangalore,Group,Bangalore,Batting,171,5,59,10,Bangalore,Runs,112,Wayne Parnell,Faf du Plessis,55,Wayne Parnell,3-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,14-05-2023,Chennai,Chennai,Kolkata,Group,Chennai,Batting,144,6,147,4,Kolkata,Wickets,6,Rinku Singh,Nitish Rana,57,Deepak Chahar,3-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
